employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,,,department_id,department_name,location_id
100,Steven,King,steven.king@sqltutorial.org,515.123.4567,6/17/1987,4,24000,,9,,,8,Sales,2500
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,9/21/1989,5,17000,100,9,,,9,Executive,1700
102,Lex,De Haan,lex.de haan@sqltutorial.org,515.123.4569,1/13/1993,5,17000,100,9,,,10,Finance,1700
145,John,Russell,john.russell@sqltutorial.org,,10/1/1996,15,14000,100,8,,,11,Accounting,1700
146,Karen,Partners,karen.partners@sqltutorial.org,,1/5/1997,15,13500,100,8,,,13,BALLB,
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,2/17/1996,10,13000,100,2,,,,,
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,8/17/1994,7,12000,101,10,,,,,
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,6/7/1994,2,12000,101,11,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,passport no,Unique Key,,,,,,Foreign Key Constraint,,,,,
,,Student Name,,,,,,,,,,,,
,,Adhar Card,Unique Key,,,,,,,,,,,
,,pan card,Unique Key,,,,,,,,,,,
,,roll no,Primary Key,Unique Key + Not NULL,,,,,,,,,,
,,driving license,Unique Key,,,,,,,,,,,
"Inner Join, when columns are matching",,,,,"Left Outer Join, when columns are matching",,,,,"Right Outer Join, when columns are matching",,,,
E first name,Did ,did,dname,,E first name,Did ,did,dname,,E first name,Did ,did,dname,
Steven,9,9,Executive,,Steven,9,9,Executive,,Steven,9,9,Executive,
Neena,9,9,Executive,,Neena,9,9,Executive,,Neena,9,9,Executive,
Lex,9,9,Executive,,Lex,9,9,Executive,,Lex,9,9,Executive,
John,8,8,Sales,,John,8,8,Sales,,John,8,8,Sales,
Karen,8,8,Sales,,Karen,8,8,Sales,,Karen,8,8,Sales,
Nancy,10,10,Finance,,Nancy,10,10,Finance,,Nancy,10,10,Finance,
Shelley,11,11,Accounting,,Shelley,11,11,Accounting,,Shelley,11,11,Accounting,
,,,,,Hartstein,2,,,,,,13,BALLB,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"Full Join, when columns are matching",,,,,,,,,,
,,,,E first name,Did ,did,dname,,,,,,,
,,,,Steven,9,9,Executive,,,,,,,
,,,,Neena,9,9,Executive,,,,,,,
,,,,Lex,9,9,Executive,,,,,,,
,,,,John,8,8,Sales,,,,,,,
,,,,Karen,8,8,Sales,,,,,,,
,,,,Nancy,10,10,Finance,,,,,,,
,,,,Shelley,11,11,Accounting,,,,,,,
,,,,Hartstein,2,,,,,,,,,
,,,,,,13,BALLB,,,,,,,
